PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Unnamed: 0,StartUpCost_pu,NoLoadCost_pu,Nunits,CHPPowerLossFactor,CHPMaxHeat,InitialPower,Type,JRC_id,RampUpMax,RampDownMax,RampStartUpMaximum,RampShutDownMaximum,CostFixed
10.0,ERNE UNIT 2,IE,HROR,WAT,1.0,0.0,0.0,0.5,1.0,56.65914835,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
22.5,ERNE UNIT 3,IE,HROR,WAT,1.0,0.0,0.0,0.444444444,1.0,134.9,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
22.5,ERNE UNIT 4,IE,HROR,WAT,1.0,0.0,0.0,0.444444444,1.0,143.85,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
464.0,Great Island CCGT,IE,COMC,GAS,0.51,4.0,4.0,0.03700431,0.03987069,76411.66484,3160.013699,0.0,0.4375,0.51,0.0,0.40108227,,,,,,,,,,,,,,,,,,,,
54.0,Great Island Unit 1,IE,STUR,OIL,0.24,4.0,2.0,0.012962963,0.018518519,8845.440726,439.4027419,0.0,0.462962963,0.23,0.0,1.054665589,,,,,,,,,,,,,,,,,,,,
49.0,Great Island Unit 2,IE,STUR,OIL,0.24,4.0,2.0,0.014285714,0.020408163,8845.440726,439.4027419,0.0,0.510204082,0.23,0.0,1.059051038,,,,,,,,,,,,,,,,,,,,
113.0,Great Island Unit 3,IE,STUR,OIL,0.3,4.0,4.0,0.00619469,0.013274336,18215.78637,698.3668548,0.0,0.265486726,0.25,0.0,0.856514495,,,,,,,,,,,,,,,,,,,,
343.0,Huntstown CCGT Unit 1,IE,COMC,GAS,0.48,4.0,4.0,0.020408163,0.020408163,151325.2689,6940.947033,0.0,0.498542274,0.47,0.0,0.429795688,,,,,,,,,,,,,,,,,,,,
404.0,Huntstown CCGT Unit 2,IE,COMC,GAS,0.48,4.0,4.0,0.049504951,0.049504951,73910.7859,6145.330659,0.0,0.420792079,0.47,0.0,0.424998642,,,,,,,,,,,,,,,,,,,,
72.0,iPower Solutions ltd,IE,GTUR,OIL,0.27,1.0,1.0,0.111111111,0.111111111,6917.330385,1499.446209,0.0,0.375,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
29.0,Kilroot KGT1,IE,GTUR,OIL,0.24,0.0,0.0,0.092068966,0.092068966,1866.996374,868.0702473,0.0,0.172413793,0.11,0.0,0.856535385,,,,,,,,,,,,,,,,,,,,
29.0,Kilroot KGT2,IE,GTUR,OIL,0.24,0.0,0.0,0.092068966,0.092068966,1866.996374,868.0702473,0.0,0.172413793,0.11,0.0,0.53932183,,,,,,,,,,,,,,,,,,,,
42.0,Kilroot KGT3,IE,GTUR,OIL,0.29,0.0,0.0,0.238095238,0.238095238,1881.510549,972.5134615,0.0,0.305238095,0.2,0.0,0.533302338,,,,,,,,,,,,,,,,,,,,
42.0,Kilroot KGT4,IE,GTUR,OIL,0.29,0.0,0.0,0.238095238,0.238095238,1881.509505,972.4999451,0.0,0.305238095,0.2,0.0,0.940695,,,,,,,,,,,,,,,,,,,,
238.0,Kilroot K1,IE,STUR,HRD,0.32,4.0,1.0,0.024327731,0.024327731,22032.74968,986.4209341,0.0,0.390756303,0.27,0.0,1.085270544,,,,,,,,,,,,,,,,,,,,
238.0,Kilroot K2,IE,STUR,HRD,0.32,4.0,1.0,0.024327731,0.024327731,22032.74968,986.4209341,0.0,0.390756303,0.27,0.0,1.085270544,,,,,,,,,,,,,,,,,,,,
15.0,LEE UNIT 1,IE,HROR,WAT,1.0,0.0,0.0,0.16,1.0,117.1,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
4.0,LEE UNIT 2,IE,HROR,WAT,1.0,0.0,0.0,0.15,1.0,27.98,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
8.0,LEE UNIT 3,IE,HROR,WAT,1.0,0.0,0.0,0.1875,1.0,62.49,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
15.0,Liffey Unit 1,IE,HROR,WAT,1.0,0.0,0.0,0.333333333,0.666666667,177.2703297,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
15.0,Liffey Unit 2,IE,HROR,WAT,1.0,0.0,0.0,0.333333333,0.666666667,170.1499451,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
4.0,Liffey Unit 4,IE,HROR,WAT,1.0,0.0,0.0,0.5,0.5,43.14,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
4.0,Liffey Unit 5,IE,HROR,WAT,1.0,0.0,0.0,0.0075,0.5,31.8,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
18.2,Lisahally / Maydown,IE,STUR,WST,0.3,4.0,1.0,0.002197802,0.002197802,2375.985321,45.40012422,0.0,0.700549451,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
93.0,Lanesboro,IE,STUR,BIO,0.36,4.0,4.0,0.014731183,0.005376344,4303.568141,502.2834066,0.0,0.978494624,0.36,0.0,1.167,,,,,,,,,,,,,,,,,,,,
95.0,Marina,IE,GTUR,GAS,0.26,4.0,1.0,0.052631579,0.052631579,33300.59533,2999.112033,0.0,0.210526316,0.25,0.0,0.776917678,,,,,,,,,,,,,,,,,,,,
17.0,Meath waste to energy,IE,STUR,WST,0.85,0.0,0.0,0.021176471,0.038235294,0.0,0.0,0.0,0.058823529,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
285.0,Moneypoint Unit 1,IE,STUR,HRD,0.3,6.0,5.0,0.010526316,0.015929825,113198.3976,858.2935165,0.0,0.347368421,0.32,0.0,1.064982097,,,,,,,,,,,,,,,,,,,,
285.0,Moneypoint Unit 2,IE,STUR,HRD,0.3,6.0,5.0,0.010526316,0.015754386,107583.3316,817.8710989,0.0,0.347368421,0.32,0.0,1.064982097,,,,,,,,,,,,,,,,,,,,
285.0,Moneypoint Unit 3,IE,STUR,HRD,0.3,6.0,5.0,0.010526316,0.015929825,113195.0652,858.2794505,0.0,0.347368421,0.32,0.0,1.064982097,,,,,,,,,,,,,,,,,,,,
163.0,North Wall 4,IE,COMC,GAS,0.35,4.0,0.0,0.023213397,0.073619632,4896.97,3104.21,0.0,0.535582822,0.36,0.0,0.580714574,,,,,,,,,,,,,,,,,,,,
109.0,North Wall CT5,IE,GTUR,GAS,0.27,4.0,1.0,0.073394495,0.073394495,9528.195,3564.425082,0.0,0.174311927,0.14,0.0,0.761832884,,,,,,,,,,,,,,,,,,,,
512.0,Poolbeg CCGT Unit,IE,COMC,GAS,0.47,4.0,4.0,0.021484375,0.021484375,97478.30877,4830.52544,0.0,0.453125,0.44,0.0,0.439182633,,,,,,,,,,,,,,,,,,,,
52.0,Rhode Unit 1,IE,GTUR,OIL,0.31,0.0,0.0,0.192307692,0.192307692,2256.095357,1005.010467,0.0,0.096153846,0.21,0.0,0.837731707,,,,,,,,,,,,,,,,,,,,
52.0,Rhode Unit 2,IE,GTUR,OIL,0.31,0.0,0.0,0.192307692,0.192307692,2256.095357,1005.010467,0.0,0.096153846,0.21,0.0,0.837731707,,,,,,,,,,,,,,,,,,,,
83.0,Sealrock 3,IE,GTUR,GAS,0.56,4.0,4.0,0.072289157,0.072289157,6255.604112,1323.492692,0.0,0.481927711,0.48,0.0,0.36694434,,,,,,,,,,,,,,,,,,,,
83.0,Sealrock 4,IE,GTUR,GAS,0.56,4.0,4.0,0.072289157,0.072289157,6267.130266,1326.287198,0.0,0.481927711,0.48,0.0,0.36694434,,,,,,,,,,,,,,,,,,,,
54.0,Tarbert Unit 1,IE,STUR,OIL,0.28,2.0,2.0,0.018518519,0.018518519,10621.7833,363.3217582,0.0,0.333333333,0.26,0.0,0.905424557,,,,,,,,,,,,,,,,,,,,
54.0,Tarbert Unit 2,IE,STUR,OIL,0.28,2.0,2.0,0.018518519,0.018518519,10779.05342,367.1825824,0.0,0.333333333,0.26,0.0,0.905424557,,,,,,,,,,,,,,,,,,,,
243.0,Tarbert Unit 3,IE,STUR,OIL,0.35,4.0,4.0,0.008230453,0.009053498,69483.56252,2009.666703,0.0,0.143415638,0.24,0.0,0.739817532,,,,,,,,,,,,,,,,,,,,
243.0,Tarbert Unit 4,IE,STUR,OIL,0.33,4.0,4.0,0.008230453,0.009053498,69489.6693,2012.109258,0.0,0.143415638,0.23,0.0,0.770557597,,,,,,,,,,,,,,,,,,,,
52.0,Tawnaghmore Unit 1,IE,GTUR,OIL,0.31,0.0,1.0,0.192307692,0.192307692,2250.715027,1046.954808,0.0,0.096153846,0.21,0.0,0.823469184,,,,,,,,,,,,,,,,,,,,
52.0,Tawnaghmore Unit 3,IE,GTUR,OIL,0.31,0.0,1.0,0.192307692,0.192307692,2250.715027,1046.954808,0.0,0.096153846,0.21,0.0,0.823469184,,,,,,,,,,,,,,,,,,,,
73.0,Turlough Hill Unit 1,IE,HPHS,WAT,0.85,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,,,452.6,0.0,73.0,0.7,,,,,,,,,,,,,,
73.0,Turlough Hill Unit 2,IE,HPHS,WAT,0.85,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,,,452.6,0.0,73.0,0.7,,,,,,,,,,,,,,
73.0,Turlough Hill Unit 3,IE,HPHS,WAT,0.85,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,,,452.6,0.0,73.0,0.7,,,,,,,,,,,,,,
73.0,Turlough Hill Unit 4,IE,HPHS,WAT,0.85,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,,,452.6,0.0,73.0,0.7,,,,,,,,,,,,,,
404.0,Tynagh Generator Unit,IE,COMC,GAS,0.50443962,4.0,4.0,0.030940594,0.025074257,97995.99542,4176.769231,0.0,0.48019802,0.52,0.0,1.370290248,,,,,,,,,,,,,,,,,,,,
140.0,West Offaly,IE,STUR,BIO,0.38,4.0,4.0,0.005,0.005,6445.958846,668.9261264,0.0,0.978571429,0.38,0.0,1.105578947,,,,,,,,,,,,,,,,,,,,
445.0,Whitegate Unit 1,IE,COMC,GAS,0.52,4.0,4.0,0.046292135,0.060224719,103972.0394,4467.756538,0.0,0.404494382,0.48,0.0,0.390842917,,,,,,,,,,,,,,,,,,,,
3039.0,Windfarms,IE,WTON,WIN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
364.8309790259226,IE_COMC_GAS,IE,COMC,GAS,0.57,2.0,4.0,0.03,0.03,,,0.0,0.36,0.57,1.0,0.42,,,,,,,IE_COMC_GAS,55,0.0,7.0,,,,,,,,,,
62.16318621268099,IE_GTUR_GAS,IE,GTUR,GAS,0.425,0.0,0.0,0.166666666666667,0.166666666666667,,,0.0,0.2,0.425,0.166666666666667,0.564705882352941,,,,,,,IE_GTUR_GAS,0,0.0,11.0,,,,,,,,,,
112.67581630566444,IE_STUR_GAS,IE,STUR,GAS,0.38,0.0,0.0,0.02,0.02,,,0.0,0.4,0.38,0.0,0.0,,,,,,,IE_STUR_GAS,0,0.0,5.0,,,,,,,,,,
427.5,IE_STUR_HRD,IE,STUR,HRD,0.46,8.0,8.0,0.0177777777777778,0.0177777777777778,,,0.0,0.3,0.46,2.0,0.81,,,,,,,IE_STUR_HRD,65,0.0,2.0,,,,,,,,,,
270.3333333333333,IE_STUR_OIL,IE,STUR,OIL,0.33,4.0,4.0,0.02,0.02,,,0.0,0.4,0.33,0.0,0.799636363636364,,,,,,,IE_STUR_OIL,65,0.0,3.0,,,,,,,,,,
114.53333333333336,IE_STUR_PEA,IE,STUR,PEA,0.3,4.0,4.0,0.02,0.02,,,0.0,0.5,0.3,0.0,0.0,,,,,,,IE_STUR_PEA,65,0.0,3.0,,,,,,,,,,
292.0,IE_HPHS_WAT,IE,HPHS,WAT,0.8,0.0,0.0,0.0666666666666667,0.0666666666666667,,,0.0,0.0,1.0,0.0,0.0,,,1460.0,0.0,292.0,0.8,IE_HPHS_WAT,0,0.0,1.0,,,,,,,,,,
2740.0,IE_WTON_WIN,IE,WTON,WIN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,IE_WTON_WIN,0,0.0,1.0,,,,,,,,,,
121.78823529411768,IE_STUR_OTH,IE,STUR,OTH,0.3,4.0,4.0,0.02,0.02,,,0.0,0.5,0.3,0.0,0.0,,,,,,,IE_STUR_OTH,65,0.0,5.0,,,,,,,,,,
175.0,CZ_STUR_BIO,CZ,STUR,BIO,0.46,4.0,6.0,0.02,0.02,,,1.3,0.35,0.35,1.0,0.0,back-pressure,1.0,,,,,CZ_STUR_BIO,120,12.5,4.0,0.0,175.0,,,,,,,,
245.9706691,CZ_COMC_GAS,CZ,COMC,GAS,0.57,2.0,4.0,0.03,0.03,,,0.0,0.36,0.57,1.0,0.42,,,,,,,CZ_COMC_GAS,55,0.0,2.0,,,,,,,,,,
600.0,CZ_STUR_HRD,CZ,STUR,HRD,0.46,8.0,8.0,0.017777778,0.017777778,,,0.0,0.3,0.46,2.0,0.81,,,,,,,CZ_STUR_HRD,65,0.0,2.0,,,,,,,,,,
757.6363636,CZ_STUR_LIG,CZ,STUR,LIG,0.393,8.0,8.0,0.01520979,0.017482517,,,0.0,0.389,0.4075,5.0,1.05,,,,,,,CZ_STUR_LIG,65,12.56164384,11.0,,,,,,,,,,
808.0,CZ_STUR_NUC,CZ,STUR,NUC,1.0,24.0,24.0,0.003333333,0.003333333,,,0.0,0.5,1.0,12.0,0.0,,,,,,,CZ_STUR_NUC,300,0.0,5.0,,,,,,,,,,
2027.0,CZ_PHOT_SUN,CZ,PHOT,SUN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,CZ_PHOT_SUN,0,0.0,1.0,,,,,,,,,,
431.0,CZ_HROR_WAT,CZ,HROR,WAT,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,CZ_HROR_WAT,0,0.0,1.0,,,,,,,,,,
1822.0,CZ_HPHS_WAT,CZ,HPHS,WAT,0.8,0.0,0.0,0.066666667,0.066666667,,,0.0,0.0,1.0,0.0,0.0,,,9110.0,0.0,1172.0,0.8,CZ_HPHS_WAT,0,0.0,1.0,,,,,,,,,,
277.0,CZ_WTON_WIN,CZ,WTON,WIN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,CZ_WTON_WIN,0,0.0,1.0,,,,,,,,,,
1914.0,Claus,NL,COMC,GAS,0.525,5.0,1.0,0.0058359457,0.0058359457,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
1554.0,Eemshaven 1,NL,STUR,HRD,0.395,8.0,6.0,0.0032175032,0.0032175032,117242.17,0.0,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
1326.0,Eemshaven 2,NL,COMC,GAS,0.525,5.0,1.0,0.0084238311,0.0084238311,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
1090.0,Hemweg,NL,STUR,HRD,0.395,8.0,6.0,0.004587156,0.004587156,117242.17,0.0,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
1070.0,Maasvlakte,NL,STUR,HRD,0.395,8.0,6.0,0.0046728972,0.0046728972,117242.17,0.0,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
869.0,Velsen,NL,COMC,GAS,0.525,5.0,1.0,0.012853855,0.012853855,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
864.0,Sloecentrale,NL,COMC,GAS,0.525,5.0,1.0,0.0129282407,0.0129282407,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
860.0,Enecogen,NL,COMC,GAS,0.525,5.0,1.0,0.0129883721,0.0129883721,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
840.0,Rijnmond,NL,COMC,GAS,0.525,5.0,1.0,0.013297619,0.013297619,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
774.0,Moerdijk,NL,COMC,GAS,0.525,5.0,1.0,0.0144315245,0.0144315245,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
731.0,MVL380 CR10,NL,STUR,HRD,0.395,8.0,6.0,0.0068399453,0.0068399453,117242.17,0.0,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
684.0,Diemen,NL,COMC,GAS,0.525,5.0,1.0,0.0163304094,0.0163304094,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
643.0,Amer,NL,STUR,HRD,0.395,8.0,6.0,0.0077760498,0.0077760498,117242.17,0.0,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
66.0,Maasvlakte 1,NL,STUR,HRD,0.395,8.0,6.0,0.0757575758,0.0757575758,117242.17,0.0,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
66.0,Maasvlakte 2,NL,STUR,HRD,0.395,8.0,6.0,0.0757575758,0.0757575758,117242.17,0.0,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
492.0,Borssele 30,NL,STUR,NUC,0.405,24.0,24.0,0.0069715447,0.0069715447,200000.0,0.0,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
456.0,TNZ150 ELSTA,NL,COMC,GAS,0.525,5.0,1.0,0.024495614,0.024495614,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
437.0,LLS150FL-5,NL,COMC,GAS,0.525,5.0,1.0,0.0255606407,0.0255606407,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
435.0,LLS380 FL-4,NL,COMC,GAS,0.525,5.0,1.0,0.0256781609,0.0256781609,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
427.0,Rijnmond II,NL,COMC,GAS,0.525,5.0,1.0,0.0261592506,0.0261592506,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
408.0,Borssele 12,NL,STUR,HRD,0.395,8.0,6.0,0.012254902,0.012254902,117242.17,0.0,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
361.0,eem220-ec-5,NL,COMC,GAS,0.525,5.0,1.0,0.0309418283,0.0309418283,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
360.0,eem380-ec-7,NL,COMC,GAS,0.525,5.0,1.0,0.0310277778,0.0310277778,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
359.0,eem220-ec-4,NL,COMC,GAS,0.525,5.0,1.0,0.0311142061,0.0311142061,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
359.0,eem220-ec-3,NL,COMC,GAS,0.525,5.0,1.0,0.0311142061,0.0311142061,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
359.0,eem380-ec-6,NL,COMC,GAS,0.525,5.0,1.0,0.0311142061,0.0311142061,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
247.0,Centrale Lage Weide,NL,COMC,GAS,0.525,5.0,1.0,0.0452226721,0.0452226721,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
224.0,ASP003,NL,COMC,GAS,0.525,5.0,1.0,0.0498660714,0.0498660714,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
220.0,RoCa,NL,COMC,GAS,0.525,5.0,1.0,0.0507727273,0.0507727273,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
209.0,Swentibold,NL,COMC,GAS,0.525,5.0,1.0,0.0534449761,0.0534449761,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
131.0,GDFSUEZ_NL_EC-22,NL,COMC,GAS,0.525,5.0,1.0,0.0852671756,0.0852671756,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
130.0,Pergen 2,NL,COMC,GAS,0.525,5.0,1.0,0.0859230769,0.0859230769,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
130.0,Pergen 1,NL,COMC,GAS,0.525,5.0,1.0,0.0859230769,0.0859230769,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
122.0,Prinses Alexia Windpark,NL,WTON,WIN,1.0,0.0,0.0,1.1065573771,1.1065573771,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
120.0,Westereems,NL,WTON,WIN,1.0,0.0,0.0,1.125,1.125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
