Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,SAINT-GHISLAIN STEG,386.0,1.0,BE,,,COMC,GAS,0.57,2.0,4.0,0.03,0.03,,0.0,0.0,0.36,0.57,1.0,0.42,,,,,,,,,,,,,,,,,,,,
,Marcinelle Energie (Carsid),413.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0270460048,0.0270460048,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,T-power Beringen,422.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0264691943,0.0264691943,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,,,,,,,
,RINGVAART STEG,385.0,1.0,BE,,,COMC,GAS,0.57,2.0,4.0,0.03,0.03,,0.0,0.0,0.36,0.57,1.0,0.42,,,,,,,,,,,,,,,,,,,,
,ANGLEUR TGV3,50.0,1.0,BE,,,COMC,GAS,0.57,2.0,4.0,0.03,0.03,,0.0,0.0,0.36,0.57,1.0,0.42,,,,,,,,,,,,,,,,,,,,
,Zandvliet Power,386.2,1.0,BE,,,COMC,GAS,0.57,2.0,4.0,0.03,0.03,,0.0,0.0,0.36,0.57,1.0,0.42,,,,,,,,,,,,,,,,,,,,
,SAINT-GHISLAIN STEG,350.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0319142857,0.0319142857,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,,,,,,,
,RINGVAART STEG,385.0,1.0,BE,,,COMC,GAS,0.57,2.0,4.0,0.03,0.03,,0.0,0.0,0.36,0.57,1.0,0.42,,,,,,,,,,,,,,,,,,,,
,INESCO WKK,138.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.080942029,0.080942029,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,,,,,,,
,HERDERSBRUG STEG,465.0,1.0,BE,,,COMC,GAS,0.525,5.0,1.0,0.0240215054,0.0240215054,112542.12,,0.0,0.4,0.525,0.0,0.45,,,,,,,,,,,,,,,,,,,,
