Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
,KW Simmering,1272.0,,AT,,,COMC,GAS,0.525,5.0,1.0,0.0087814465,0.0087814465,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,
,GDK-Mellach,838.0,,AT,,,COMC,GAS,0.525,5.0,1.0,0.0133293556,0.0133293556,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,
,Kraftwerk Thei??,765.0,,AT,,,COMC,GAS,0.525,5.0,1.0,0.0146013072,0.0146013072,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,
,Malta-Hauptstufe,730.0,,AT,,,HPHS,WAT,0.86,0.0,0.0,0.4109589041,0.4109589041,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,35040.0,0.0,613.4453781513,0.86,,
,Kraftwerk Timelkam GUD,400.0,,AT,,,COMC,GAS,0.525,5.0,1.0,0.027925,0.027925,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,
,KW Donaustadt,395.0,,AT,,,COMC,GAS,0.525,5.0,1.0,0.028278481,0.028278481,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,
,Kraftwerk D??rnrohr,392.0,,AT,,,STUR,HRD,0.395,8.0,6.0,0.012755102,0.012755102,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,
,H??usling,360.0,,AT,,,HPHS,WAT,0.86,0.0,0.0,0.8333333333,0.8333333333,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,17280.0,0.0,302.5210084034,0.86,,
,Mayrhofen,345.0,,AT,,,HDAM,WAT,0.85,0.0,0.0,0.2608695652,0.2608695652,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,169395.0,0.0,0.0,0.0,,
,Altenwarth,328.0,,AT,,,HROR,WAT,1.0,0.0,0.0,0.6707317073,0.6707317073,0.0,,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,
,Greifenstein,293.0,,AT,,,HROR,WAT,1.0,0.0,0.0,0.7508532423,0.7508532423,0.0,,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,
,Aschach,287.0,,AT,,,HROR,WAT,1.0,0.0,0.0,0.7665505226,0.7665505226,0.0,,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,
,Kaprun-Hauptstufe,240.0,,AT,,,HDAM,WAT,0.85,0.0,0.0,0.375,0.375,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,117840.0,0.0,0.0,0.0,,
,Ybbs-Persenbeug,237.0,,AT,,,HROR,WAT,1.0,0.0,0.0,0.9282700422,0.9282700422,0.0,,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,
,Ro??hag,231.0,,AT,,,HPHS,WAT,0.86,0.0,0.0,1.2987012987,1.2987012987,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,11088.0,0.0,194.1176470588,0.86,,
,FHKW Mellach,220.0,,AT,,,STUR,HRD,0.395,8.0,6.0,0.0227272727,0.0227272727,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,
,Fernheizkraftwerk Linz Mitte,217.0,,AT,,,COMC,GAS,0.525,5.0,1.0,0.0514746544,0.0514746544,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,
,Wallsee-Mitterkirchen,210.0,,AT,,,HROR,WAT,1.0,0.0,0.0,1.0476190476,1.0476190476,0.0,,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,
