index,ES -> FR,ES -> PT
2015-01-01 03:00:00+0000,0.0,1011.0
2015-01-01 04:00:00+0000,0.0,1074.0
2015-01-01 05:00:00+0000,0.0,926.0
2015-01-01 06:00:00+0000,0.0,348.0
2015-01-01 07:00:00+0000,0.0,400.0
2015-01-01 08:00:00+0000,0.0,269.0
2015-01-01 09:00:00+0000,0.0,112.0
2015-01-01 10:00:00+0000,0.0,499.0
2015-01-01 11:00:00+0000,0.0,782.0
2015-01-01 12:00:00+0000,0.0,1040.0
2015-01-01 13:00:00+0000,0.0,515.0
2015-01-01 14:00:00+0000,0.0,931.0
2015-01-01 15:00:00+0000,0.0,867.0
2015-01-01 16:00:00+0000,0.0,301.0
2015-01-01 17:00:00+0000,0.0,0.0
2015-01-01 18:00:00+0000,0.0,0.0
2015-01-01 19:00:00+0000,0.0,0.0
2015-01-01 20:00:00+0000,0.0,0.0
2015-01-01 21:00:00+0000,0.0,0.0
2015-01-01 22:00:00+0000,0.0,4.0
2015-01-01 23:00:00+0000,0.0,1134.0
2015-01-02 00:00:00+0000,0.0,1570.0
2015-01-02 01:00:00+0000,0.0,1703.0
2015-01-02 02:00:00+0000,0.0,1871.0
2015-01-02 03:00:00+0000,0.0,1568.0
2015-01-02 04:00:00+0000,0.0,1314.0
2015-01-02 05:00:00+0000,0.0,692.0
2015-01-02 06:00:00+0000,0.0,0.0
2015-01-02 07:00:00+0000,0.0,0.0
2015-01-02 08:00:00+0000,0.0,0.0
2015-01-02 09:00:00+0000,0.0,0.0
2015-01-02 10:00:00+0000,0.0,0.0
2015-01-02 11:00:00+0000,0.0,0.0
2015-01-02 12:00:00+0000,0.0,0.0
2015-01-02 13:00:00+0000,0.0,281.0
2015-01-02 14:00:00+0000,0.0,35.0
2015-01-02 15:00:00+0000,0.0,0.0
2015-01-02 16:00:00+0000,0.0,0.0
2015-01-02 17:00:00+0000,0.0,0.0
2015-01-02 18:00:00+0000,0.0,0.0
2015-01-02 19:00:00+0000,0.0,0.0
2015-01-02 20:00:00+0000,0.0,0.0
2015-01-02 21:00:00+0000,0.0,363.0
2015-01-02 22:00:00+0000,0.0,321.0
2015-01-02 23:00:00+0000,0.0,1224.0
2015-01-03 00:00:00+0000,0.0,1644.0
2015-01-03 01:00:00+0000,0.0,1555.0
2015-01-03 02:00:00+0000,0.0,1377.0
2015-01-03 03:00:00+0000,0.0,1421.0
2015-01-03 04:00:00+0000,0.0,1074.0
2015-01-03 05:00:00+0000,0.0,857.0
2015-01-03 06:00:00+0000,0.0,552.0
2015-01-03 07:00:00+0000,0.0,193.0
2015-01-03 08:00:00+0000,0.0,0.0
2015-01-03 09:00:00+0000,0.0,0.0
2015-01-03 10:00:00+0000,0.0,22.0
2015-01-03 11:00:00+0000,0.0,253.0
2015-01-03 12:00:00+0000,0.0,657.0
2015-01-03 13:00:00+0000,0.0,950.0
2015-01-03 14:00:00+0000,0.0,1608.0
2015-01-03 15:00:00+0000,0.0,1672.0
2015-01-03 16:00:00+0000,0.0,1384.0
2015-01-03 17:00:00+0000,0.0,967.0
2015-01-03 18:00:00+0000,0.0,1040.0
2015-01-03 19:00:00+0000,0.0,1082.0
2015-01-03 20:00:00+0000,0.0,1417.0
2015-01-03 21:00:00+0000,0.0,1355.0
2015-01-03 22:00:00+0000,0.0,1697.0
2015-01-03 23:00:00+0000,0.0,1933.0
2015-01-04 00:00:00+0000,0.0,1915.0
2015-01-04 01:00:00+0000,0.0,1858.0
2015-01-04 02:00:00+0000,0.0,1829.0
