index,SK -> HU,SK -> CZ,SK -> PL
2023-01-01 03:00:00+0000,2521.0,0.0,0.0
2023-01-01 04:00:00+0000,2585.0,0.0,0.0
2023-01-01 05:00:00+0000,2637.0,0.0,0.0
2023-01-01 06:00:00+0000,2598.0,0.0,0.0
2023-01-01 07:00:00+0000,2186.0,0.0,0.0
2023-01-01 08:00:00+0000,2035.0,0.0,0.0
2023-01-01 09:00:00+0000,2070.0,0.0,0.0
2023-01-01 10:00:00+0000,1988.0,0.0,0.0
2023-01-01 11:00:00+0000,1980.0,0.0,0.0
2023-01-01 12:00:00+0000,1972.0,0.0,0.0
2023-01-01 13:00:00+0000,2241.0,0.0,0.0
2023-01-01 14:00:00+0000,2438.0,0.0,0.0
2023-01-01 15:00:00+0000,2618.0,0.0,0.0
2023-01-01 16:00:00+0000,2542.0,0.0,0.0
2023-01-01 17:00:00+0000,2476.0,0.0,0.0
2023-01-01 18:00:00+0000,2500.0,0.0,0.0
2023-01-01 19:00:00+0000,2390.0,0.0,0.0
2023-01-01 20:00:00+0000,2259.0,0.0,0.0
2023-01-01 21:00:00+0000,2097.0,0.0,0.0
2023-01-01 22:00:00+0000,2021.0,0.0,0.0
2023-01-01 23:00:00+0000,2240.0,0.0,0.0
2023-01-02 00:00:00+0000,2074.0,0.0,0.0
2023-01-02 01:00:00+0000,1879.0,0.0,0.0
2023-01-02 02:00:00+0000,1849.0,0.0,0.0
2023-01-02 03:00:00+0000,1881.0,0.0,0.0
2023-01-02 04:00:00+0000,2089.0,0.0,0.0
2023-01-02 05:00:00+0000,2029.0,0.0,0.0
2023-01-02 06:00:00+0000,1929.0,0.0,0.0
2023-01-02 07:00:00+0000,1945.0,0.0,0.0
2023-01-02 08:00:00+0000,1725.0,0.0,0.0
2023-01-02 09:00:00+0000,1573.0,0.0,0.0
2023-01-02 10:00:00+0000,1412.0,0.0,0.0
2023-01-02 11:00:00+0000,1553.0,0.0,0.0
2023-01-02 12:00:00+0000,1480.0,0.0,0.0
2023-01-02 13:00:00+0000,1849.0,0.0,0.0
2023-01-02 14:00:00+0000,2127.0,0.0,0.0
2023-01-02 15:00:00+0000,2459.0,0.0,0.0
2023-01-02 16:00:00+0000,2552.0,0.0,0.0
2023-01-02 17:00:00+0000,2477.0,0.0,0.0
2023-01-02 18:00:00+0000,2266.0,0.0,0.0
2023-01-02 19:00:00+0000,2193.0,0.0,0.0
2023-01-02 20:00:00+0000,2436.0,0.0,0.0
2023-01-02 21:00:00+0000,2630.0,0.0,0.0
2023-01-02 22:00:00+0000,2713.0,0.0,0.0
2023-01-02 23:00:00+0000,2692.0,0.0,0.0
2023-01-03 00:00:00+0000,2457.0,0.0,0.0
2023-01-03 01:00:00+0000,2149.0,0.0,0.0
2023-01-03 02:00:00+0000,2078.0,0.0,0.0
2023-01-03 03:00:00+0000,2246.0,0.0,0.0
2023-01-03 04:00:00+0000,2530.0,0.0,0.0
2023-01-03 05:00:00+0000,2570.0,0.0,0.0
2023-01-03 06:00:00+0000,2490.0,0.0,0.0
