index,BG -> RoW,RoW -> BG,EE -> RoW,RoW -> EE,EL -> RoW,RoW -> EL,FI -> RoW,RoW -> FI,HR -> RoW,RoW -> HR,HU -> RoW,RoW -> HU,IT -> RoW,RoW -> IT,LT -> RoW,RoW -> LT,LV -> RoW,RoW -> LV,PL -> RoW,RoW -> PL,RO -> RoW,RoW -> RO,SK -> RoW,RoW -> SK
2020-01-01 00:00:00+00:00,880.0,0.0,0.0,369.0,0.0,0.0,0.0,1011.0,654.0,0.0,342.0,274.0,0.0,0.0,0.0,656.0,0.0,130.0,0.0,0.0,0.0,628.0,549.0,0.0
2020-01-01 01:00:00+00:00,782.0,0.0,0.0,203.0,0.0,0.0,0.0,998.0,483.0,0.0,265.0,283.0,0.0,0.0,0.0,469.0,0.0,74.0,0.0,0.0,0.0,534.0,486.0,0.0
2020-01-01 02:00:00+00:00,788.0,0.0,0.0,155.0,0.0,0.0,0.0,980.0,369.0,0.0,195.0,277.0,0.0,0.0,0.0,285.0,0.0,50.0,0.0,0.0,0.0,456.0,392.0,0.0
2020-01-01 03:00:00+00:00,842.0,0.0,0.0,54.0,0.0,0.0,0.0,995.0,656.0,0.0,305.0,281.0,0.0,0.0,0.0,64.0,0.0,14.0,0.0,0.0,0.0,516.0,459.0,0.0
2020-01-01 04:00:00+00:00,851.0,0.0,2.0,0.0,0.0,0.0,0.0,1344.0,512.0,0.0,220.0,315.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,451.0,427.0,0.0
2020-01-01 05:00:00+00:00,912.0,0.0,21.0,0.0,0.0,0.0,0.0,1402.0,217.0,0.0,111.0,321.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,352.0,374.0,0.0
2020-01-01 06:00:00+00:00,947.0,0.0,0.0,10.0,0.0,0.0,0.0,1406.0,0.0,22.0,7.0,331.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,274.0,390.0,0.0
2020-01-01 07:00:00+00:00,1103.0,0.0,0.0,22.0,0.0,0.0,0.0,1412.0,0.0,55.0,0.0,341.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,224.0,367.0,0.0
2020-01-01 08:00:00+00:00,1173.0,0.0,0.0,69.0,1.0,0.0,0.0,1418.0,0.0,71.0,1.0,325.0,0.0,0.0,0.0,191.0,0.0,7.0,0.0,0.0,0.0,162.0,301.0,0.0
2020-01-01 09:00:00+00:00,1271.0,0.0,0.0,99.0,2.0,0.0,0.0,1426.0,0.0,70.0,6.0,283.0,0.0,0.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,85.0,209.0,0.0
2020-01-01 10:00:00+00:00,1433.0,0.0,0.0,82.0,36.0,0.0,0.0,1429.0,0.0,90.0,2.0,285.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,23.0,151.0,0.0
2020-01-01 11:00:00+00:00,1492.0,0.0,0.0,117.0,47.0,0.0,0.0,1401.0,0.0,79.0,2.0,248.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,12.0,111.0,0.0
2020-01-01 12:00:00+00:00,1446.0,0.0,0.0,92.0,34.0,0.0,0.0,1415.0,0.0,81.0,0.0,274.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,36.0,122.0,0.0
2020-01-01 13:00:00+00:00,1273.0,0.0,0.0,86.0,2.0,0.0,0.0,1431.0,77.0,53.0,3.0,249.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,116.0,213.0,0.0
2020-01-01 14:00:00+00:00,1081.0,0.0,0.0,177.0,0.0,0.0,0.0,1420.0,143.0,31.0,1.0,175.0,0.0,0.0,0.0,371.0,0.0,7.0,0.0,0.0,0.0,176.0,247.0,0.0
2020-01-01 15:00:00+00:00,976.0,0.0,0.0,159.0,0.0,0.0,0.0,1417.0,150.0,13.0,10.0,112.0,0.0,0.0,0.0,407.0,0.0,2.0,0.0,0.0,0.0,225.0,442.0,0.0
2020-01-01 16:00:00+00:00,1011.0,0.0,0.0,165.0,0.0,0.0,0.0,1398.0,142.0,4.0,67.0,202.0,0.0,0.0,0.0,390.0,0.0,8.0,0.0,0.0,0.0,238.0,564.0,0.0
2020-01-01 17:00:00+00:00,1014.0,0.0,0.0,141.0,1.0,0.0,0.0,1405.0,102.0,13.0,58.0,206.0,0.0,0.0,0.0,423.0,0.0,0.0,0.0,0.0,0.0,283.0,605.0,0.0
2020-01-01 18:00:00+00:00,958.0,0.0,43.0,0.0,0.0,0.0,0.0,1416.0,120.0,10.0,59.0,190.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,275.0,583.0,0.0
2020-01-01 19:00:00+00:00,931.0,0.0,42.0,0.0,0.0,0.0,0.0,1408.0,140.0,11.0,42.0,166.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,255.0,533.0,0.0
2020-01-01 20:00:00+00:00,982.0,0.0,30.0,0.0,8.0,0.0,0.0,1412.0,165.0,2.0,82.0,207.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,248.0,490.0,0.0
2020-01-01 21:00:00+00:00,1011.0,0.0,0.0,365.0,0.0,0.0,0.0,1383.0,342.0,0.0,161.0,300.0,0.0,0.0,0.0,727.0,0.0,110.0,0.0,0.0,0.0,283.0,412.0,0.0
2020-01-01 22:00:00+00:00,956.0,0.0,0.0,87.0,0.0,0.0,0.0,1383.0,435.0,0.0,225.0,357.0,0.0,0.0,0.0,310.0,0.0,28.0,0.0,0.0,0.0,327.0,407.0,0.0
2020-01-01 23:00:00+00:00,993.0,0.0,0.0,137.0,0.0,0.0,0.0,1288.0,359.0,0.0,263.0,446.0,0.0,0.0,0.0,370.0,0.0,49.0,0.0,79.0,0.0,347.0,460.0,0.0
2020-01-02 00:00:00+00:00,775.0,0.0,0.0,138.0,0.0,0.0,0.0,1274.0,447.0,0.0,275.0,457.0,0.0,0.0,0.0,354.0,0.0,59.0,0.0,122.0,0.0,381.0,500.0,0.0
2020-01-02 01:00:00+00:00,646.0,0.0,0.0,121.0,0.0,0.0,0.0,1026.0,496.0,0.0,306.0,459.0,0.0,0.0,0.0,190.0,0.0,55.0,0.0,148.0,0.0,426.0,541.0,0.0
2020-01-02 02:00:00+00:00,572.0,0.0,0.0,142.0,0.0,0.0,0.0,985.0,581.0,0.0,323.0,397.0,0.0,0.0,0.0,145.0,0.0,60.0,0.0,193.0,0.0,557.0,619.0,0.0
2020-01-02 03:00:00+00:00,509.0,0.0,0.0,153.0,0.0,0.0,0.0,988.0,594.0,0.0,272.0,347.0,0.0,0.0,0.0,162.0,0.0,47.0,0.0,204.0,0.0,608.0,637.0,0.0
2020-01-02 04:00:00+00:00,571.0,90.0,0.0,105.0,0.0,0.0,0.0,1316.0,590.0,0.0,218.0,256.0,0.0,0.0,0.0,142.0,0.0,12.0,0.0,202.0,0.0,622.0,623.0,0.0
2020-01-02 05:00:00+00:00,454.0,47.0,0.0,118.0,0.0,0.0,0.0,1416.0,422.0,0.0,174.0,302.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,206.0,0.0,476.0,539.0,0.0
2020-01-02 06:00:00+00:00,458.0,13.0,0.0,571.0,0.0,0.0,0.0,1408.0,231.0,0.0,159.0,395.0,0.0,0.0,0.0,539.0,0.0,101.0,0.0,203.0,0.0,388.0,617.0,0.0
