index,AL -> EL,BA -> HR,BG -> RS,BG -> TR,BG -> MK,BY -> LT,EE -> RU,EL -> TR,EL -> MK,EL -> AL,FI -> RU,HR -> BA,HR -> RS,HU -> RS,IT -> MT,LT -> BY,LV -> RU,MK -> EL,MK -> BG,MT -> IT,RO -> RS,RU -> LV,RU -> FI,RU -> EE,RS -> RO,RS -> HU,RS -> BG,RS -> HR,TR -> EL,TR -> BG
2016-01-01 00:00:00+00:00,0.0,0.0,295.0,562.0,350.0,351.0,445.0,0.0,0.0,209.0,0.0,291.0,4.0,293.0,126.0,0.0,0.0,277.0,0.0,0.0,180.0,92.0,580.0,0.0,0.0,0.0,0.0,0.0,387.0,0.0
2016-01-01 00:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 00:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 00:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 01:00:00+00:00,0.0,0.0,271.0,552.0,328.0,368.0,486.0,0.0,0.0,185.0,0.0,276.0,18.0,308.0,125.0,0.0,0.0,262.0,0.0,0.0,172.0,102.0,600.0,0.0,0.0,0.0,0.0,0.0,361.0,0.0
2016-01-01 01:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 01:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 01:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 02:00:00+00:00,0.0,0.0,248.0,560.0,300.0,380.0,518.0,0.0,0.0,160.0,0.0,192.0,22.0,309.0,120.0,0.0,0.0,237.0,0.0,0.0,268.0,103.0,583.0,0.0,0.0,0.0,0.0,0.0,334.0,0.0
2016-01-01 02:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 02:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 02:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 03:00:00+00:00,0.0,0.0,222.0,538.0,295.0,360.0,492.0,0.0,0.0,128.0,0.0,307.0,45.0,315.0,118.0,0.0,0.0,277.0,0.0,0.0,230.0,112.0,588.0,0.0,0.0,0.0,0.0,0.0,349.0,0.0
2016-01-01 03:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 03:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 03:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 04:00:00+00:00,0.0,0.0,227.0,523.0,299.0,345.0,417.0,0.0,0.0,126.0,0.0,292.0,33.0,288.0,125.0,0.0,0.0,281.0,0.0,0.0,256.0,102.0,588.0,0.0,0.0,0.0,0.0,0.0,351.0,0.0
2016-01-01 04:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 04:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 04:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 05:00:00+00:00,0.0,0.0,231.0,578.0,309.0,363.0,408.0,0.0,0.0,143.0,0.0,233.0,25.0,289.0,118.0,0.0,0.0,300.0,0.0,0.0,280.0,70.0,849.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0
2016-01-01 05:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 05:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 05:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 06:00:00+00:00,0.0,0.0,223.0,647.0,318.0,348.0,462.0,0.0,0.0,151.0,0.0,212.0,16.0,285.0,120.0,0.0,0.0,336.0,0.0,0.0,305.0,79.0,885.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0
2016-01-01 06:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 06:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 06:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 07:00:00+00:00,0.0,0.0,268.0,601.0,345.0,322.0,440.0,0.0,0.0,171.0,0.0,109.0,0.0,261.0,118.0,0.0,0.0,305.0,0.0,0.0,422.0,87.0,917.0,0.0,0.0,0.0,0.0,18.0,318.0,0.0
2016-01-01 07:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 07:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 07:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 08:00:00+00:00,0.0,0.0,323.0,622.0,381.0,321.0,404.0,0.0,0.0,190.0,0.0,136.0,0.0,240.0,124.0,0.0,0.0,272.0,0.0,0.0,415.0,93.0,917.0,0.0,0.0,0.0,0.0,38.0,338.0,0.0
2016-01-01 08:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 08:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 08:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
