Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,Amercentrale (A8),645.0,1.0,NL,,,STUR,HRD,0.395,8.0,6.0,0.00777605,0.00777605,117242.17,,0.0,0.5,0.395,7.0,0.95,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,ESSENT ENERGY TRADING B.V.,51.70838,4.84381
,Amercentrale (A9),640.0,1.0,NL,,,STUR,HRD,0.395,8.0,6.0,0.0078125,0.0078125,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,ESSENT ENERGY TRADING B.V.,51.70838,4.84381
,CUIJK,25.0,1.0,NL,,,STUR,HRD,0.395,8.0,6.0,0.0877192982,0.0877192982,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,ESSENT ENERGY TRADING B.V.,51.75381,5.8528
,Centrale Hemweg (HW-8),650.0,1.0,NL,,,STUR,HRD,0.395,8.0,6.0,0.00777605,0.00777605,117242.17,,0.0,0.5,0.395,7.0,0.95,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,NUON,52.40537,4.84482
,Centrale Maasvlakte (MV3),1068.0,1.0,NL,,,STUR,HRD,0.395,8.0,6.0,0.0046728972,0.0046728972,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,EON BENELUX,51.96262,4.02152
,MVL380 Centrale Rotterdam 1,731.0,1.0,NL,,,STUR,HRD,0.395,8.0,6.0,0.0068399453,0.0068399453,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,GDF SUEZ ENERGIE NEDERLAND NV,51.94496,4.06767
,Willem Alexander Centrale,249.0,1.0,NL,,,STUR,HRD,0.395,8.0,6.0,0.02,0.02,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,NUON,51.22402,5.97085
,CORDEMAIS 4,580.0,1.0,FR,,,STUR,HRD,0.395,8.0,6.0,0.0086206897,0.0086206897,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,,47.27712,-1.88012
,CORDEMAIS 5,580.0,1.0,FR,,,STUR,HRD,0.395,8.0,6.0,0.0086206897,0.0086206897,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,,47.27712,-1.88012
,EMILE HUCHET 6,595.0,1.0,FR,,,STUR,HRD,0.395,8.0,6.0,0.0084033613,0.0084033613,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,,49.15412,6.7047
,HAVRE 4,580.0,1.0,FR,,,STUR,HRD,0.395,8.0,6.0,0.0086206897,0.0086206897,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,,49.47553,0.14711
,PROVENCE 5,595.0,1.0,FR,,,STUR,HRD,0.395,8.0,6.0,0.0084033613,0.0084033613,117242.17,,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,,46.46883,5.48957
,CHEYLAS,485.0,1.0,FR,,,HPHS,WAT,0.86,0.0,0.0,0.618556701,0.618556701,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,,,,,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,,45.3846,6.00207
