Description,Dispaset_Technology,Equivalent_Technology_1,Equivalent_Technology_2,Equivalent_Technology_3,Equivalent_Technology_4,Equivalent_Technology_5,Equivalent_Technology_6,Equivalent_Technology_7,Equivalent_Technology_8
Conventional hydro dam,HDAM,Reservoir,Hydro Water Reservoir,-,-,-,-,-,-
Hydro run-of-river,HROR,Run-of-river,RES,Hydro Run-of-river and poundage,Hydro Run-of-river,-,-,-,-
Pumped hydro storage,HPHS,Pumped storage,Pumped storage with natural inflow,Hydro Pumped Storage,Hydro Pumped Storage,-,-,-,-
Solar photovoltaic,PHOT,Photovoltaics,Photovoltaics ground,Phot,-,-,-,-,-
Wave energy,WAVE,-,-,-,-,-,-,-,-
Waste heat engine,WHEN,-,-,-,-,-,-,-,-
Offshore wind turbine,WTOF,Offshore,Wind Offshore,-,-,-,-,-,-
Onshore wind turbine,WTON,Onshore,Wind Onshore,-,-,-,-,-,-
Combined cycle,COMC,Combined cycle,CCGT,Comc,-,-,-,-,-
Gas turbine,GTUR,Gas turbine,Fossil Gas,-,-,-,-,-,-
Internal combustion engine,ICEN,Combustion Engine,Sewage and landfill gas,-,-,-,-,-,-
Concentrated Solar Power,SCSP,-,-,-,-,-,-,-,-
Steam turbine,STUR,Steam turbine,chp,Biomass and biogas,Geothermal,Fossil Hard coal,Stur,-,-
Stationary batteries,BATS,-,-,-,-,-,-,-,-
Battery-powered electric vehicles,BEVS,-,-,-,-,-,-,-,-
Compressed air energy storage,CAES,-,-,-,-,-,-,-,-
Power-to-gas storage,P2GS,-,-,-,-,-,-,-,-
Thermal storage,THMS,Storage technologies,-,-,-,-,-,-,-
Geothermal district heating,GETH,-,-,-,-,-,-,-,-
Heat only boiler,HOBO,-,-,-,-,-,-,-,-
Solar thermal district heating,SOTH,-,-,-,-,-,-,-,-
Absorption heat pump (solar/geothermal/gas),ABHP,-,-,-,-,-,-,-,-
Air source heat pump,ASHP,-,-,-,-,-,-,-,-
Ground source heat pump,GSHP,-,-,-,-,-,-,-,-
Hybrid heat pump (Ground/air & HP/GAS-OIL,HYHP,-,-,-,-,-,-,-,-
Power-to-heat,P2HT,-,-,-,-,-,-,-,-
Resistive heater,REHE,-,-,-,-,-,-,-,-
Water source heat pump,WSHP,-,-,-,-,-,-,-,-
