Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
,KW Simmering,1272,,AT,,,COMC,GAS,0.525,5,1,0.0087814465,0.0087814465,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,GDK-Mellach,838,,AT,,,COMC,GAS,0.525,5,1,0.0133293556,0.0133293556,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,Kraftwerk Thei??,765,,AT,,,COMC,GAS,0.525,5,1,0.0146013072,0.0146013072,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,Malta-Hauptstufe,730,,AT,,,HPHS,WAT,0.86,0,0,0.4109589041,0.4109589041,0,,0,0,0.86,0.3,0,,,,,,,,,35040,0,613.4453781513,0.86,,
,Kraftwerk Timelkam GUD,400,,AT,,,COMC,GAS,0.525,5,1,0.027925,0.027925,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,KW Donaustadt,395,,AT,,,COMC,GAS,0.525,5,1,0.028278481,0.028278481,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,Kraftwerk D??rnrohr,392,,AT,,,STUR,HRD,0.395,8,6,0.012755102,0.012755102,117242.17,,0,0.3,0.395,7,0.95,,,,,,,,,,,,,,
,H??usling,360,,AT,,,HPHS,WAT,0.86,0,0,0.8333333333,0.8333333333,0,,0,0,0.86,0.3,0,,,,,,,,,17280,0,302.5210084034,0.86,,
,Mayrhofen,345,,AT,,,HDAM,WAT,0.85,0,0,0.2608695652,0.2608695652,0,,0,0,0.85,0.3,0,,,,,,,,,169395,0,0,0,,
,Altenwarth,328,,AT,,,HROR,WAT,1,0,0,0.6707317073,0.6707317073,0,,0,0,1,0.3,0,,,,,,,,,,,,,,
,Greifenstein,293,,AT,,,HROR,WAT,1,0,0,0.7508532423,0.7508532423,0,,0,0,1,0.3,0,,,,,,,,,,,,,,
,Aschach,287,,AT,,,HROR,WAT,1,0,0,0.7665505226,0.7665505226,0,,0,0,1,0.3,0,,,,,,,,,,,,,,
,Kaprun-Hauptstufe,240,,AT,,,HDAM,WAT,0.85,0,0,0.375,0.375,0,,0,0,0.85,0.3,0,,,,,,,,,117840,0,0,0,,
,Ybbs-Persenbeug,237,,AT,,,HROR,WAT,1,0,0,0.9282700422,0.9282700422,0,,0,0,1,0.3,0,,,,,,,,,,,,,,
,Ro??hag,231,,AT,,,HPHS,WAT,0.86,0,0,1.2987012987,1.2987012987,0,,0,0,0.86,0.3,0,,,,,,,,,11088,0,194.1176470588,0.86,,
,FHKW Mellach,220,,AT,,,STUR,HRD,0.395,8,6,0.0227272727,0.0227272727,117242.17,,0,0.3,0.395,7,0.95,,,,,,,,,,,,,,
,Fernheizkraftwerk Linz Mitte,217,,AT,,,COMC,GAS,0.525,5,1,0.0514746544,0.0514746544,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,Wallsee-Mitterkirchen,210,,AT,,,HROR,WAT,1,0,0,1.0476190476,1.0476190476,0,,0,0,1,0.3,0,,,,,,,,,,,,,,
,Gerlos,200,,AT,,,HDAM,WAT,0.85,0,0,0.45,0.45,0,,0,0,0.85,0.3,0,,,,,,,,,98200,0,0,0,,
,Melk,187,,AT,,,HROR,WAT,1,0,0,1.1764705882,1.1764705882,0,,0,0,1,0.3,0,,,,,,,,,,,,,,
,Ottensheim-Wilhering,179,,AT,,,HROR,WAT,1,0,0,1.2290502793,1.2290502793,0,,0,0,1,0.3,0,,,,,,,,,,,,,,
,Freudenau,172,,AT,,,HROR,WAT,1,0,0,1.2790697674,1.2790697674,0,,0,0,1,0.3,0,,,,,,,,,,,,,,
,Abwinden-Asten,168,,AT,,,HROR,WAT,1,0,0,1.3095238095,1.3095238095,0,,0,0,1,0.3,0,,,,,,,,,,,,,,
,FHKW Linz S??d,158,,AT,,,COMC,GAS,0.525,5,1,0.0706962025,0.0706962025,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,voestalpine KW Linz,153,,AT,,,COMC,GAS,0.525,5,1,0.0730065359,0.0730065359,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,Kraftwerk Riedersbach 2,150,,AT,,,STUR,HRD,0.395,8,6,0.0333333333,0.0333333333,117242.17,,0,0.3,0.395,7,0.95,,,,,,,,,,,,,,
,Kraftwerk Korneuburg,150,,AT,,,COMC,GAS,0.525,5,1,0.0744666667,0.0744666667,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,Kraftwerk Feldsee,140,,AT,,,HPHS,WAT,0.86,0,0,2.1428571429,2.1428571429,0,,0,0,0.86,0.3,0,,,,,,,,,6720,0,117.6470588235,0.86,,
,KW Leopoldau,140,,AT,,,COMC,GAS,0.525,5,1,0.0797857143,0.0797857143,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,
,Kaprun-Schwarzach,120,,AT,,,HDAM,WAT,0.85,0,0,0.75,0.75,0,,0,0,0.85,0.3,0,,,,,,,,,58920,0,0,0,,
,Malta-Oberstufe,120,,AT,,,HPHS,WAT,0.86,0,0,2.5,2.5,0,,0,0,0.86,0.3,0,,,,,,,,,5760,0,100.8403361345,0.86,,
,Kraftwerk Oschenik,114,,AT,,,HPHS,WAT,0.86,0,0,2.6315789474,2.6315789474,0,,0,0,0.86,0.3,0,,,,,,,,,5472,0,95.7983193277,0.86,,
,Kaprun-Oberstufe,113,,AT,,,HPHS,WAT,0.86,0,0,2.6548672566,2.6548672566,0,,0,0,0.86,0.3,0,,,,,,,,,5424,0,94.9579831933,0.86,,
,Kraftwerk Au??erfragant,100,,AT,,,HDAM,WAT,0.85,0,0,0.9,0.9,0,,0,0,0.85,0.3,0,,,,,,,,,49100,0,0,0,,
,DispaSET PHOT_AT,814,,AT,,,PHOT,SUN,1,0,0,1.1056511057,1.1056511057,0,,0,0,1,0,0,,,,,,,,,,,,,,
