Technology,AIR,AMO,BIO,ELE,GAS,GEO,HRD,HYD,LIG,NUC,OIL,OTH,PEA,SUN,THE,WAT,WHT,WIN,WST
ABHP,0.95,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ALKE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEVS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSPG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CAES,0,0,0,0.65,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMC,0,0,0,0,0.9,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
COMCX,0,0,0.6,0,0.3,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
DMFC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GETH,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSHP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GTUR,0,0,0,0,0.8,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
GTURX,0,0,0.5,0,0.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
H2ST,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBBS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HDAMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HDLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOBO,0,0,0.9,0,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
HOBOX,0,0,0.6,0,0.3,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
HPHS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPHSC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HROR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HRORC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HYHP,0.9,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICEN,0,0,0.3,0,0.2,0,0,0.1,0,0,0.4,0,0,0,0,0,0,0,0
ICENX,0,0,0.5,0,0.3,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
MCFC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAFC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2BS,0,0,0.4,0.5,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
P2GS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2HT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEFC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PEME,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHOT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
REFC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
REHE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCSP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SOFC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOTH,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SOXE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STUR,0,0,0.2,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0
STURX,0,0,0.5,0,0.3,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
THMS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WHEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WTOF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WSHP,0.95,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
