index,SE -> NO,SE -> LT,SE -> FI,SE -> DE,SE -> DK,SE -> PL
2021-01-01 03:00:00+0000,1145.0,394.0,1292.0,607.0,1713.0,0.0
2021-01-01 04:00:00+0000,951.0,441.0,1360.0,606.0,1687.0,0.0
2021-01-01 05:00:00+0000,560.0,519.0,1413.0,607.0,1664.0,0.0
2021-01-01 06:00:00+0000,75.0,634.0,1582.0,607.0,1707.0,0.0
2021-01-01 07:00:00+0000,0.0,618.0,1574.0,607.0,1664.0,0.0
2021-01-01 08:00:00+0000,0.0,632.0,1409.0,607.0,1776.0,3.0
2021-01-01 09:00:00+0000,0.0,279.0,1767.0,606.0,1652.0,268.0
2021-01-01 10:00:00+0000,0.0,330.0,1873.0,607.0,1704.0,141.0
2021-01-01 11:00:00+0000,0.0,277.0,1926.0,607.0,1871.0,103.0
2021-01-01 12:00:00+0000,0.0,205.0,2027.0,606.0,1887.0,122.0
2021-01-01 13:00:00+0000,0.0,234.0,2204.0,607.0,1877.0,68.0
2021-01-01 14:00:00+0000,0.0,419.0,2300.0,419.0,1826.0,9.0
2021-01-01 15:00:00+0000,0.0,335.0,2154.0,179.0,1768.0,172.0
2021-01-01 16:00:00+0000,0.0,40.0,2069.0,537.0,1754.0,0.0
2021-01-01 17:00:00+0000,0.0,72.0,2190.0,606.0,1702.0,0.0
2021-01-01 18:00:00+0000,0.0,134.0,2176.0,606.0,1744.0,9.0
2021-01-01 19:00:00+0000,0.0,5.0,2180.0,605.0,1839.0,215.0
2021-01-01 20:00:00+0000,0.0,125.0,2477.0,606.0,1838.0,205.0
2021-01-01 21:00:00+0000,0.0,4.0,2441.0,606.0,1764.0,381.0
2021-01-01 22:00:00+0000,0.0,22.0,2180.0,606.0,1790.0,481.0
2021-01-01 23:00:00+0000,0.0,526.0,1798.0,606.0,1838.0,31.0
2021-01-02 00:00:00+0000,328.0,509.0,1525.0,606.0,1786.0,0.0
2021-01-02 01:00:00+0000,497.0,596.0,1358.0,606.0,1756.0,0.0
2021-01-02 02:00:00+0000,591.0,604.0,1318.0,606.0,1751.0,0.0
2021-01-02 03:00:00+0000,381.0,486.0,1524.0,606.0,1774.0,0.0
2021-01-02 04:00:00+0000,68.0,561.0,1590.0,607.0,1792.0,0.0
2021-01-02 05:00:00+0000,0.0,501.0,1747.0,607.0,1652.0,0.0
2021-01-02 06:00:00+0000,0.0,358.0,1981.0,607.0,1697.0,7.0
2021-01-02 07:00:00+0000,0.0,13.0,1966.0,606.0,1640.0,282.0
2021-01-02 08:00:00+0000,0.0,54.0,1964.0,606.0,1850.0,147.0
2021-01-02 09:00:00+0000,0.0,17.0,1989.0,341.0,1876.0,390.0
2021-01-02 10:00:00+0000,0.0,45.0,1905.0,189.0,1866.0,461.0
2021-01-02 11:00:00+0000,0.0,39.0,1823.0,543.0,1869.0,109.0
2021-01-02 12:00:00+0000,0.0,65.0,1914.0,419.0,1889.0,296.0
2021-01-02 13:00:00+0000,0.0,45.0,2071.0,410.0,1874.0,297.0
2021-01-02 14:00:00+0000,0.0,49.0,2168.0,372.0,1747.0,299.0
2021-01-02 15:00:00+0000,0.0,0.0,1976.0,210.0,1659.0,405.0
2021-01-02 16:00:00+0000,0.0,0.0,2032.0,272.0,1692.0,396.0
2021-01-02 17:00:00+0000,0.0,0.0,2047.0,545.0,1863.0,166.0
2021-01-02 18:00:00+0000,0.0,0.0,2055.0,604.0,1711.0,297.0
