Week,2023
Week 01,0.0
Week 02,0.0
Week 03,0.0
Week 04,0.0
Week 05,0.0
Week 06,0.0
Week 07,0.0
Week 08,0.0
Week 09,0.0
Week 10,0.0
Week 11,0.0
Week 12,0.0
Week 13,0.0
Week 14,0.0
Week 15,0.0
Week 16,0.0
Week 17,0.0
Week 18,0.0
Week 19,0.0
Week 20,0.0
Week 21,0.0
Week 22,0.0
Week 23,0.0
Week 24,0.0
Week 25,0.0
Week 26,0.0
Week 27,0.0
Week 28,0.0
Week 29,0.0
Week 30,0.0
Week 31,0.0
Week 32,0.0
Week 33,0.0
Week 34,0.0
Week 35,0.0
Week 36,0.0
Week 37,0.0
Week 38,0.0
Week 39,0.0
Week 40,0.0
Week 41,0.0
Week 42,0.0
Week 43,0.0
Week 44,0.0
Week 45,0.0
Week 46,0.0
Week 47,0.0
Week 48,0.0
Week 49,0.0
Week 50,0.0
Week 51,0.0
Week 52,0.0
Week 53,0.0
