Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,Ribatejo,1176,1.0,PT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T.Outeiro C.C.,990,1.0,PT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gouvães,880,1.0,PT,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pego C.C.,837,1.0,PT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lares,826,1.0,PT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frades II,780,1.0,PT,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alto Lindoso,630,1.0,PT,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alqueva,508,1.0,PT,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aguieira,336,1.0,PT,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Foz Tua,268,1.0,PT,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Picote II,245,1.0,PT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bemposta,240,1.0,PT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Valeira,240,1.0,PT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salamonde II,220,1.0,PT,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bemposta II,203,1.0,PT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carrapatelo,201,1.0,PT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Picote,195,1.0,PT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,V.Nova II(Frades),191,1.0,PT,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miranda II,189,1.0,PT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pocinho,186,1.0,PT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Regua,180,1.0,PT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miranda,180,1.0,PT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Castelo Bode,159,1.0,PT,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baixo Sabor Montante,153,1.0,PT,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Torrao,140,1.0,PT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fratel,132,1.0,PT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vilarinho F.,125,1.0,PT,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crestuma,117,1.0,PT,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daivões,114,1.0,PT,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cabril,108,1.0,PT,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
