index,UA -> HU,UA -> RO,UA -> SK,UA -> PL
2019-01-01 03:00:00+0000,568.0,493.0,0.0,0.0
2019-01-01 04:00:00+0000,573.0,494.0,0.0,0.0
2019-01-01 05:00:00+0000,565.0,426.0,0.0,0.0
2019-01-01 06:00:00+0000,571.0,501.0,0.0,0.0
2019-01-01 07:00:00+0000,581.0,468.0,0.0,0.0
2019-01-01 08:00:00+0000,562.0,487.0,0.0,0.0
2019-01-01 09:00:00+0000,597.0,463.0,0.0,0.0
2019-01-01 10:00:00+0000,638.0,469.0,0.0,0.0
2019-01-01 11:00:00+0000,656.0,472.0,0.0,0.0
2019-01-01 12:00:00+0000,616.0,408.0,0.0,0.0
2019-01-01 13:00:00+0000,625.0,471.0,0.0,0.0
2019-01-01 14:00:00+0000,573.0,538.0,0.0,0.0
2019-01-01 15:00:00+0000,570.0,605.0,0.0,0.0
2019-01-01 16:00:00+0000,614.0,562.0,0.0,0.0
2019-01-01 17:00:00+0000,623.0,543.0,0.0,0.0
2019-01-01 18:00:00+0000,671.0,502.0,0.0,0.0
2019-01-01 19:00:00+0000,634.0,485.0,0.0,0.0
2019-01-01 20:00:00+0000,624.0,434.0,0.0,0.0
2019-01-01 21:00:00+0000,651.0,424.0,0.0,0.0
2019-01-01 22:00:00+0000,662.0,383.0,0.0,0.0
2019-01-01 23:00:00+0000,643.0,408.0,0.0,70.0
2019-01-02 00:00:00+0000,634.0,394.0,0.0,160.0
2019-01-02 01:00:00+0000,602.0,405.0,0.0,208.0
2019-01-02 02:00:00+0000,578.0,422.0,0.0,210.0
2019-01-02 03:00:00+0000,594.0,425.0,0.0,211.0
2019-01-02 04:00:00+0000,627.0,409.0,0.0,207.0
2019-01-02 05:00:00+0000,620.0,324.0,0.0,207.0
2019-01-02 06:00:00+0000,627.0,245.0,0.0,207.0
2019-01-02 07:00:00+0000,648.0,223.0,0.0,215.0
2019-01-02 08:00:00+0000,700.0,188.0,0.0,210.0
2019-01-02 09:00:00+0000,692.0,191.0,0.0,210.0
2019-01-02 10:00:00+0000,744.0,192.0,0.0,207.0
2019-01-02 11:00:00+0000,756.0,181.0,0.0,210.0
2019-01-02 12:00:00+0000,729.0,212.0,0.0,213.0
2019-01-02 13:00:00+0000,759.0,281.0,0.0,211.0
2019-01-02 14:00:00+0000,770.0,304.0,0.0,211.0
2019-01-02 15:00:00+0000,764.0,325.0,0.0,209.0
2019-01-02 16:00:00+0000,777.0,299.0,0.0,205.0
2019-01-02 17:00:00+0000,777.0,357.0,0.0,204.0
2019-01-02 18:00:00+0000,773.0,357.0,0.0,205.0
2019-01-02 19:00:00+0000,777.0,359.0,0.0,207.0
2019-01-02 20:00:00+0000,831.0,360.0,0.0,208.0
2019-01-02 21:00:00+0000,879.0,352.0,0.0,207.0
2019-01-02 22:00:00+0000,846.0,296.0,0.0,206.0
2019-01-02 23:00:00+0000,813.0,314.0,0.0,210.0
2019-01-03 00:00:00+0000,787.0,238.0,0.0,212.0
2019-01-03 01:00:00+0000,749.0,208.0,0.0,207.0
2019-01-03 02:00:00+0000,724.0,189.0,0.0,205.0
2019-01-03 03:00:00+0000,731.0,225.0,0.0,210.0
2019-01-03 04:00:00+0000,732.0,393.0,0.0,207.0
2019-01-03 05:00:00+0000,539.0,468.0,0.0,208.0
2019-01-03 06:00:00+0000,487.0,482.0,0.0,210.0
2019-01-03 07:00:00+0000,440.0,498.0,0.0,212.0
