name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source,,,,,,,,,,,,,,,,,,,,,
Marcinelle Energie (Carsid),DIRECT ENERGIE,,,,BE,413,Natural gas,Combined cycle,,,,50.41396,4.40645,22WMARCIN000179H,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Aalst Syral GT,Electrabel,,,,BE,43,Natural gas,Gas turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Aalst Syral ST,Electrabel,,,,BE,5,Natural gas,Steam turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
AALTER TJ,Electrabel,,,,BE,18,Oil,Gas turbine,,,,,,,Fossil fuels,Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Amercoeur 1 R TGV,Electrabel,,,,BE,451,Natural gas,Combined cycle,,,,50.43004,4.39518,22WAMERCO000010Y,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
AWIRS 4,Electrabel,,,,BE,95,Biomass and biogas,Steam turbine,,,,50.58508,5.41886,,Renewable energy,Bioenergy,Biomass and biogas,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
BEERSE TJ,Electrabel,,,,BE,32,Oil,Gas turbine,,,,,,,Fossil fuels,Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Beveren Ineos Phenolchemie,Electrabel,,,,BE,23.8,Natural gas,,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
BUTGENBACH,Electrabel,,,,BE,1.8,Hydro,,,,,,,,Renewable energy,Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
CIERREUX TJ,Electrabel,,,,BE,18,Oil,Gas turbine,,,,,,,Fossil fuels,Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
COO I T,Electrabel,,,,BE,474,Hydro,,,,,50.38254,5.84414,22WCOOXIX000067T,Renewable energy,Hydro,,,Basin,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
COO II T,Electrabel,,,,BE,690,Hydro,,,,,50.38254,5.84414,22WCOOXII000070C,Renewable energy,Hydro,,,Basin,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
DOEL 1,Electrabel,,,,BE,445,Nuclear,Steam turbine,,,,51.32481,4.25889,22WDOELX1000076X,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
DOEL 2,Electrabel,,,,BE,433,Nuclear,Steam turbine,,,,51.32481,4.25889,22WDOELX2000077N,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
DOEL 3,Electrabel,,,,BE,1006,Nuclear,Steam turbine,,,,51.32481,4.25889,22WDOELX3000078D,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
DOEL 4,Electrabel,,,,BE,1039,Nuclear,Steam turbine,,,,51.32481,4.25889,22WDOELX40000793,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
DROGENBOS DM 51,Electrabel,,,,BE,2.5,Oil,,,,,50.80244,4.30072,,Fossil fuels,Oil,,,NoMetering,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
DROGENBOS DM 52,Electrabel,,,,BE,2.5,Oil,,,,,50.80244,4.30072,,Fossil fuels,Oil,,,NoMetering,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
DROGENBOS GT1,Electrabel,,,,BE,150,Natural gas,Gas turbine,,,,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
DROGENBOS GT2,Electrabel,,,,BE,150,Natural gas,Gas turbine,,,,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
DROGENBOS ST,Electrabel,,,,BE,160,Natural gas,Steam turbine,,,,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
HERDERSBRUG STEG,Electrabel,,,,BE,465,Natural gas,Combined cycle,,,,51.26307,3.21121,22WHERDER0001288,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
IXELLES TJ,Electrabel,,,,BE,18,Oil,Gas turbine,,,,,,,Fossil fuels,Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
La Vierre,Electrabel,,,,BE,1.9,Hydro,,,,,,,,Renewable energy,Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
Lanaken Sappi,Electrabel,,,,BE,43,Natural gas,,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,,,,,,,,,,,,,,,,,,,,,
